study_accession	secondary_study_accession	sample_accession	secondary_sample_accession	experiment_accession	run_accession	tax_id	scientific_name	library_name	study_alias	run_alias	fastq_ftp	submitted_ftp	sra_ftp	sample_title
PRJNA294605	SRP074153	SAMN04161029	SRS1433910	SRX3363932	SRR6257412	408170	human gut metagenome	N1_011_028G1	PRJNA294605	b011-d028.r2.fq.gz	ftp.sra.ebi.ac.uk/vol1/fastq/SRR625/002/SRR6257412/SRR6257412_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR625/002/SRR6257412/SRR6257412_2.fastq.gz		ftp.sra.ebi.ac.uk/vol1/srr/SRR625/002/SRR6257412	This sample has been submitted by pda|info@madebydna.com on 2016-05-13; human gut metagenome
PRJNA294605	SRP074153	SAMN04161029	SRS1433910	SRX3363931	SRR6257413	408170	human gut metagenome	N1_011_027G1	PRJNA294605	b011-d027.r1.fq.gz	ftp.sra.ebi.ac.uk/vol1/fastq/SRR625/003/SRR6257413/SRR6257413_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR625/003/SRR6257413/SRR6257413_2.fastq.gz		ftp.sra.ebi.ac.uk/vol1/srr/SRR625/003/SRR6257413	This sample has been submitted by pda|info@madebydna.com on 2016-05-13; human gut metagenome
PRJNA294605	SRP074153	SAMN04161029	SRS1433910	SRX3363930	SRR6257414	408170	human gut metagenome	N1_011_037G1	PRJNA294605	b011-d037.r2.fq.gz	ftp.sra.ebi.ac.uk/vol1/fastq/SRR625/004/SRR6257414/SRR6257414_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR625/004/SRR6257414/SRR6257414_2.fastq.gz		ftp.sra.ebi.ac.uk/vol1/srr/SRR625/004/SRR6257414	This sample has been submitted by pda|info@madebydna.com on 2016-05-13; human gut metagenome
PRJNA294605	SRP074153	SAMN04161029	SRS1433910	SRX3363929	SRR6257415	408170	human gut metagenome	N1_011_033G1	PRJNA294605	b011-d033.r2.fq.gz	ftp.sra.ebi.ac.uk/vol1/fastq/SRR625/005/SRR6257415/SRR6257415_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR625/005/SRR6257415/SRR6257415_2.fastq.gz		ftp.sra.ebi.ac.uk/vol1/srr/SRR625/005/SRR6257415	This sample has been submitted by pda|info@madebydna.com on 2016-05-13; human gut metagenome
PRJNA294605	SRP074153	SAMN04161029	SRS1433910	SRX3363928	SRR6257416	408170	human gut metagenome	N1_011_051G1	PRJNA294605	b011-d051.r2.fq.gz	ftp.sra.ebi.ac.uk/vol1/fastq/SRR625/006/SRR6257416/SRR6257416_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR625/006/SRR6257416/SRR6257416_2.fastq.gz		ftp.sra.ebi.ac.uk/vol1/srr/SRR625/006/SRR6257416	This sample has been submitted by pda|info@madebydna.com on 2016-05-13; human gut metagenome
PRJNA294605	SRP074153	SAMN04161029	SRS1433910	SRX3363927	SRR6257417	408170	human gut metagenome	N1_011_046G1	PRJNA294605	b011-d046.r2.fq.gz	ftp.sra.ebi.ac.uk/vol1/fastq/SRR625/007/SRR6257417/SRR6257417_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR625/007/SRR6257417/SRR6257417_2.fastq.gz		ftp.sra.ebi.ac.uk/vol1/srr/SRR625/007/SRR6257417	This sample has been submitted by pda|info@madebydna.com on 2016-05-13; human gut metagenome
PRJNA294605	SRP074153	SAMN04161029	SRS1433910	SRX3363926	SRR6257418	408170	human gut metagenome	N1_011_069G1	PRJNA294605	b011-d069.r2.fq.gz	ftp.sra.ebi.ac.uk/vol1/fastq/SRR625/008/SRR6257418/SRR6257418_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR625/008/SRR6257418/SRR6257418_2.fastq.gz		ftp.sra.ebi.ac.uk/vol1/srr/SRR625/008/SRR6257418	This sample has been submitted by pda|info@madebydna.com on 2016-05-13; human gut metagenome
PRJNA294605	SRP074153	SAMN04161029	SRS1433910	SRX3363925	SRR6257419	408170	human gut metagenome	N1_011_062G1	PRJNA294605	b011-d062.r1.fq.gz	ftp.sra.ebi.ac.uk/vol1/fastq/SRR625/009/SRR6257419/SRR6257419_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR625/009/SRR6257419/SRR6257419_2.fastq.gz		ftp.sra.ebi.ac.uk/vol1/srr/SRR625/009/SRR6257419	This sample has been submitted by pda|info@madebydna.com on 2016-05-13; human gut metagenome
PRJNA294605	SRP074153	SAMN04161029	SRS1433910	SRX3363924	SRR6257420	408170	human gut metagenome	N1_011_071G1	PRJNA294605	N1_011_071G1.HR.R2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/fastq/SRR625/000/SRR6257420/SRR6257420.fastq.gz		ftp.sra.ebi.ac.uk/vol1/srr/SRR625/000/SRR6257420	This sample has been submitted by pda|info@madebydna.com on 2016-05-13; human gut metagenome
PRJNA294605	SRP074153	SAMN04161029	SRS1433910	SRX3363923	SRR6257421	408170	human gut metagenome	N1_011_070G1	PRJNA294605	b011-d070.r2.fq.gz	ftp.sra.ebi.ac.uk/vol1/fastq/SRR625/001/SRR6257421/SRR6257421_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR625/001/SRR6257421/SRR6257421_2.fastq.gz		ftp.sra.ebi.ac.uk/vol1/srr/SRR625/001/SRR6257421	This sample has been submitted by pda|info@madebydna.com on 2016-05-13; human gut metagenome
PRJNA294605	SRP074153	SAMN04161032	SRS1446908	SRX3363922	SRR6257422	408170	human gut metagenome	N1_018_017G1	PRJNA294605	b018-d017.r1.fq.gz	ftp.sra.ebi.ac.uk/vol1/fastq/SRR625/002/SRR6257422/SRR6257422_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR625/002/SRR6257422/SRR6257422_2.fastq.gz		ftp.sra.ebi.ac.uk/vol1/srr/SRR625/002/SRR6257422	This sample has been submitted by pda|info@madebydna.com on 2016-05-21; human gut metagenome
PRJNA294605	SRP074153	SAMN04161032	SRS1446908	SRX3363921	SRR6257423	408170	human gut metagenome	N1_018_016G1	PRJNA294605	b018-d016.r1.fq.gz	ftp.sra.ebi.ac.uk/vol1/fastq/SRR625/003/SRR6257423/SRR6257423_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR625/003/SRR6257423/SRR6257423_2.fastq.gz		ftp.sra.ebi.ac.uk/vol1/srr/SRR625/003/SRR6257423	This sample has been submitted by pda|info@madebydna.com on 2016-05-21; human gut metagenome
PRJNA294605	SRP074153	SAMN04161032	SRS1446908	SRX3363920	SRR6257424	408170	human gut metagenome	N1_018_014G1	PRJNA294605	b018-d014.r2.fq.gz	ftp.sra.ebi.ac.uk/vol1/fastq/SRR625/004/SRR6257424/SRR6257424_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR625/004/SRR6257424/SRR6257424_2.fastq.gz		ftp.sra.ebi.ac.uk/vol1/srr/SRR625/004/SRR6257424	This sample has been submitted by pda|info@madebydna.com on 2016-05-21; human gut metagenome
PRJNA294605	SRP074153	SAMN04161032	SRS1446908	SRX3363919	SRR6257425	408170	human gut metagenome	N1_018_013G1	PRJNA294605	b018-d013.r2.fq.gz	ftp.sra.ebi.ac.uk/vol1/fastq/SRR625/005/SRR6257425/SRR6257425_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR625/005/SRR6257425/SRR6257425_2.fastq.gz		ftp.sra.ebi.ac.uk/vol1/srr/SRR625/005/SRR6257425	This sample has been submitted by pda|info@madebydna.com on 2016-05-21; human gut metagenome
PRJNA294605	SRP074153	SAMN04161032	SRS1446908	SRX3363918	SRR6257426	408170	human gut metagenome	N1_018_011G1	PRJNA294605	b018-d011.r1.fq.gz	ftp.sra.ebi.ac.uk/vol1/fastq/SRR625/006/SRR6257426/SRR6257426_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR625/006/SRR6257426/SRR6257426_2.fastq.gz		ftp.sra.ebi.ac.uk/vol1/srr/SRR625/006/SRR6257426	This sample has been submitted by pda|info@madebydna.com on 2016-05-21; human gut metagenome
PRJNA294605	SRP074153	SAMN04161032	SRS1446908	SRX3363917	SRR6257427	408170	human gut metagenome	N1_018_010G1	PRJNA294605	b018-d010.r2.fq.gz	ftp.sra.ebi.ac.uk/vol1/fastq/SRR625/007/SRR6257427/SRR6257427_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR625/007/SRR6257427/SRR6257427_2.fastq.gz		ftp.sra.ebi.ac.uk/vol1/srr/SRR625/007/SRR6257427	This sample has been submitted by pda|info@madebydna.com on 2016-05-21; human gut metagenome
PRJNA294605	SRP074153	SAMN04161031	SRS1446907	SRX3363916	SRR6257428	408170	human gut metagenome	N1_017_011G1	PRJNA294605	b017-d011.r1.fq.gz	ftp.sra.ebi.ac.uk/vol1/fastq/SRR625/008/SRR6257428/SRR6257428_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR625/008/SRR6257428/SRR6257428_2.fastq.gz		ftp.sra.ebi.ac.uk/vol1/srr/SRR625/008/SRR6257428	This sample has been submitted by pda|info@madebydna.com on 2016-05-21; human gut metagenome
PRJNA294605	SRP074153	SAMN04161031	SRS1446907	SRX3363915	SRR6257429	408170	human gut metagenome	N1_017_010G1	PRJNA294605	b017-d010.r1.fq.gz	ftp.sra.ebi.ac.uk/vol1/fastq/SRR625/009/SRR6257429/SRR6257429_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR625/009/SRR6257429/SRR6257429_2.fastq.gz		ftp.sra.ebi.ac.uk/vol1/srr/SRR625/009/SRR6257429	This sample has been submitted by pda|info@madebydna.com on 2016-05-21; human gut metagenome
PRJNA294605	SRP074153	SAMN04161031	SRS1446907	SRX3363914	SRR6257430	408170	human gut metagenome	N1_017_009G1	PRJNA294605	b017-d009.r2.fq.gz	ftp.sra.ebi.ac.uk/vol1/fastq/SRR625/000/SRR6257430/SRR6257430_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR625/000/SRR6257430/SRR6257430_2.fastq.gz		ftp.sra.ebi.ac.uk/vol1/srr/SRR625/000/SRR6257430	This sample has been submitted by pda|info@madebydna.com on 2016-05-21; human gut metagenome
PRJNA294605	SRP074153	SAMN04161030	SRS1446905	SRX3363913	SRR6257431	408170	human gut metagenome	N1_014_017G1	PRJNA294605	b014-d017.r1.fq.gz	ftp.sra.ebi.ac.uk/vol1/fastq/SRR625/001/SRR6257431/SRR6257431_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR625/001/SRR6257431/SRR6257431_2.fastq.gz		ftp.sra.ebi.ac.uk/vol1/srr/SRR625/001/SRR6257431	This sample has been submitted by pda|info@madebydna.com on 2016-05-21; human gut metagenome
PRJNA294605	SRP074153	SAMN04161030	SRS1446905	SRX3363912	SRR6257432	408170	human gut metagenome	N1_014_008G1	PRJNA294605	b014-d008.r1.fq.gz	ftp.sra.ebi.ac.uk/vol1/fastq/SRR625/002/SRR6257432/SRR6257432_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR625/002/SRR6257432/SRR6257432_2.fastq.gz		ftp.sra.ebi.ac.uk/vol1/srr/SRR625/002/SRR6257432	This sample has been submitted by pda|info@madebydna.com on 2016-05-21; human gut metagenome
PRJNA294605	SRP074153	SAMN04161030	SRS1446905	SRX3363911	SRR6257433	408170	human gut metagenome	N1_014_009G1	PRJNA294605	b014-d009.r1.fq.gz	ftp.sra.ebi.ac.uk/vol1/fastq/SRR625/003/SRR6257433/SRR6257433_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR625/003/SRR6257433/SRR6257433_2.fastq.gz		ftp.sra.ebi.ac.uk/vol1/srr/SRR625/003/SRR6257433	This sample has been submitted by pda|info@madebydna.com on 2016-05-21; human gut metagenome
PRJNA294605	SRP074153	SAMN04161030	SRS1446905	SRX3363910	SRR6257434	408170	human gut metagenome	N1_014_006G1	PRJNA294605	b014-d006.r1.fq.gz	ftp.sra.ebi.ac.uk/vol1/fastq/SRR625/004/SRR6257434/SRR6257434_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR625/004/SRR6257434/SRR6257434_2.fastq.gz		ftp.sra.ebi.ac.uk/vol1/srr/SRR625/004/SRR6257434	This sample has been submitted by pda|info@madebydna.com on 2016-05-21; human gut metagenome
PRJNA294605	SRP074153	SAMN04161030	SRS1446905	SRX3363909	SRR6257435	408170	human gut metagenome	N1_014_007G1	PRJNA294605	b014-d007.r2.fq.gz	ftp.sra.ebi.ac.uk/vol1/fastq/SRR625/005/SRR6257435/SRR6257435_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR625/005/SRR6257435/SRR6257435_2.fastq.gz		ftp.sra.ebi.ac.uk/vol1/srr/SRR625/005/SRR6257435	This sample has been submitted by pda|info@madebydna.com on 2016-05-21; human gut metagenome
PRJNA294605	SRP074153	SAMN04161030	SRS1446905	SRX3363908	SRR6257436	408170	human gut metagenome	N1_014_012G1	PRJNA294605	b014-d012.r1.fq.gz	ftp.sra.ebi.ac.uk/vol1/fastq/SRR625/006/SRR6257436/SRR6257436_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR625/006/SRR6257436/SRR6257436_2.fastq.gz		ftp.sra.ebi.ac.uk/vol1/srr/SRR625/006/SRR6257436	This sample has been submitted by pda|info@madebydna.com on 2016-05-21; human gut metagenome
PRJNA294605	SRP074153	SAMN04161030	SRS1446905	SRX3363907	SRR6257437	408170	human gut metagenome	N1_014_014G1	PRJNA294605	b014-d014.r1.fq.gz	ftp.sra.ebi.ac.uk/vol1/fastq/SRR625/007/SRR6257437/SRR6257437_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR625/007/SRR6257437/SRR6257437_2.fastq.gz		ftp.sra.ebi.ac.uk/vol1/srr/SRR625/007/SRR6257437	This sample has been submitted by pda|info@madebydna.com on 2016-05-21; human gut metagenome
PRJNA294605	SRP074153	SAMN04161030	SRS1446905	SRX3363906	SRR6257438	408170	human gut metagenome	N1_014_010G1	PRJNA294605	b014-d010.r1.fq.gz	ftp.sra.ebi.ac.uk/vol1/fastq/SRR625/008/SRR6257438/SRR6257438_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR625/008/SRR6257438/SRR6257438_2.fastq.gz		ftp.sra.ebi.ac.uk/vol1/srr/SRR625/008/SRR6257438	This sample has been submitted by pda|info@madebydna.com on 2016-05-21; human gut metagenome
PRJNA294605	SRP074153	SAMN04161030	SRS1446905	SRX3363905	SRR6257439	408170	human gut metagenome	N1_014_011G1	PRJNA294605	b014-d011.r1.fq.gz	ftp.sra.ebi.ac.uk/vol1/fastq/SRR625/009/SRR6257439/SRR6257439_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR625/009/SRR6257439/SRR6257439_2.fastq.gz		ftp.sra.ebi.ac.uk/vol1/srr/SRR625/009/SRR6257439	This sample has been submitted by pda|info@madebydna.com on 2016-05-21; human gut metagenome
PRJNA294605	SRP074153	SAMN04161030	SRS1446905	SRX3363904	SRR6257440	408170	human gut metagenome	N1_014_015G1	PRJNA294605	b014-d015.r2.fq.gz	ftp.sra.ebi.ac.uk/vol1/fastq/SRR625/000/SRR6257440/SRR6257440_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR625/000/SRR6257440/SRR6257440_2.fastq.gz		ftp.sra.ebi.ac.uk/vol1/srr/SRR625/000/SRR6257440	This sample has been submitted by pda|info@madebydna.com on 2016-05-21; human gut metagenome
PRJNA294605	SRP074153	SAMN04161030	SRS1446905	SRX3363903	SRR6257441	408170	human gut metagenome	N1_014_016G1	PRJNA294605	b014-d016.r1.fq.gz	ftp.sra.ebi.ac.uk/vol1/fastq/SRR625/001/SRR6257441/SRR6257441_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR625/001/SRR6257441/SRR6257441_2.fastq.gz		ftp.sra.ebi.ac.uk/vol1/srr/SRR625/001/SRR6257441	This sample has been submitted by pda|info@madebydna.com on 2016-05-21; human gut metagenome
PRJNA294605	SRP074153	SAMN04161025	SRS1417035	SRX3363902	SRR6257442	408170	human gut metagenome	N1_003_026G1	PRJNA294605	b003-d026.r2.fq.gz	ftp.sra.ebi.ac.uk/vol1/fastq/SRR625/002/SRR6257442/SRR6257442_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR625/002/SRR6257442/SRR6257442_2.fastq.gz		ftp.sra.ebi.ac.uk/vol1/srr/SRR625/002/SRR6257442	This sample has been submitted by pda|info@madebydna.com on 2016-04-30; human gut metagenome
PRJNA294605	SRP074153	SAMN04161025	SRS1417035	SRX3363901	SRR6257443	408170	human gut metagenome	N1_003_027G1	PRJNA294605	b003-d027.r2.fq.gz	ftp.sra.ebi.ac.uk/vol1/fastq/SRR625/003/SRR6257443/SRR6257443_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR625/003/SRR6257443/SRR6257443_2.fastq.gz		ftp.sra.ebi.ac.uk/vol1/srr/SRR625/003/SRR6257443	This sample has been submitted by pda|info@madebydna.com on 2016-04-30; human gut metagenome
PRJNA294605	SRP074153	SAMN04161025	SRS1417035	SRX3363900	SRR6257444	408170	human gut metagenome	N1_003_028G1	PRJNA294605	b003-d028.r1.fq.gz	ftp.sra.ebi.ac.uk/vol1/fastq/SRR625/004/SRR6257444/SRR6257444_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR625/004/SRR6257444/SRR6257444_2.fastq.gz		ftp.sra.ebi.ac.uk/vol1/srr/SRR625/004/SRR6257444	This sample has been submitted by pda|info@madebydna.com on 2016-04-30; human gut metagenome
PRJNA294605	SRP074153	SAMN04161025	SRS1417035	SRX3363899	SRR6257445	408170	human gut metagenome	N1_003_039G1	PRJNA294605	b003-d039.r2.fq.gz	ftp.sra.ebi.ac.uk/vol1/fastq/SRR625/005/SRR6257445/SRR6257445_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR625/005/SRR6257445/SRR6257445_2.fastq.gz		ftp.sra.ebi.ac.uk/vol1/srr/SRR625/005/SRR6257445	This sample has been submitted by pda|info@madebydna.com on 2016-04-30; human gut metagenome
PRJNA294605	SRP074153	SAMN04161025	SRS1417035	SRX3363898	SRR6257446	408170	human gut metagenome	N1_003_044G1	PRJNA294605	b003-d044.r2.fq.gz	ftp.sra.ebi.ac.uk/vol1/fastq/SRR625/006/SRR6257446/SRR6257446_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR625/006/SRR6257446/SRR6257446_2.fastq.gz		ftp.sra.ebi.ac.uk/vol1/srr/SRR625/006/SRR6257446	This sample has been submitted by pda|info@madebydna.com on 2016-04-30; human gut metagenome
PRJNA294605	SRP074153	SAMN04161025	SRS1417035	SRX3363897	SRR6257447	408170	human gut metagenome	N1_003_052G1	PRJNA294605	b003-d052.r2.fq.gz	ftp.sra.ebi.ac.uk/vol1/fastq/SRR625/007/SRR6257447/SRR6257447_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR625/007/SRR6257447/SRR6257447_2.fastq.gz		ftp.sra.ebi.ac.uk/vol1/srr/SRR625/007/SRR6257447	This sample has been submitted by pda|info@madebydna.com on 2016-04-30; human gut metagenome
PRJNA294605	SRP074153	SAMN04161025	SRS1417035	SRX3363896	SRR6257448	408170	human gut metagenome	N1_003_078G1	PRJNA294605	b003-d078.r2.fq.gz	ftp.sra.ebi.ac.uk/vol1/fastq/SRR625/008/SRR6257448/SRR6257448_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR625/008/SRR6257448/SRR6257448_2.fastq.gz		ftp.sra.ebi.ac.uk/vol1/srr/SRR625/008/SRR6257448	This sample has been submitted by pda|info@madebydna.com on 2016-04-30; human gut metagenome
PRJNA294605	SRP074153	SAMN04161025	SRS1417035	SRX3363895	SRR6257449	408170	human gut metagenome	N1_003_086G1	PRJNA294605	b003-d086.r2.fq.gz	ftp.sra.ebi.ac.uk/vol1/fastq/SRR625/009/SRR6257449/SRR6257449_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR625/009/SRR6257449/SRR6257449_2.fastq.gz		ftp.sra.ebi.ac.uk/vol1/srr/SRR625/009/SRR6257449	This sample has been submitted by pda|info@madebydna.com on 2016-04-30; human gut metagenome
PRJNA294605	SRP074153	SAMN04161026	SRS1433906	SRX3363894	SRR6257450	408170	human gut metagenome	N1_004_008G1	PRJNA294605	b004-d008.r2.fq.gz	ftp.sra.ebi.ac.uk/vol1/fastq/SRR625/000/SRR6257450/SRR6257450_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR625/000/SRR6257450/SRR6257450_2.fastq.gz		ftp.sra.ebi.ac.uk/vol1/srr/SRR625/000/SRR6257450	This sample has been submitted by pda|info@madebydna.com on 2016-05-13; human gut metagenome
PRJNA294605	SRP074153	SAMN04161026	SRS1433906	SRX3363893	SRR6257451	408170	human gut metagenome	N1_004_009G1	PRJNA294605	b004-d009.r2.fq.gz	ftp.sra.ebi.ac.uk/vol1/fastq/SRR625/001/SRR6257451/SRR6257451_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR625/001/SRR6257451/SRR6257451_2.fastq.gz		ftp.sra.ebi.ac.uk/vol1/srr/SRR625/001/SRR6257451	This sample has been submitted by pda|info@madebydna.com on 2016-05-13; human gut metagenome
PRJNA294605	SRP074153	SAMN04161033	SRS1446909	SRX3363892	SRR6257452	408170	human gut metagenome	N1_019_013G1	PRJNA294605	b019-d013.r2.fq.gz	ftp.sra.ebi.ac.uk/vol1/fastq/SRR625/002/SRR6257452/SRR6257452_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR625/002/SRR6257452/SRR6257452_2.fastq.gz		ftp.sra.ebi.ac.uk/vol1/srr/SRR625/002/SRR6257452	This sample has been submitted by pda|info@madebydna.com on 2016-05-21; human gut metagenome
PRJNA294605	SRP074153	SAMN04161033	SRS1446909	SRX3363891	SRR6257453	408170	human gut metagenome	N1_019_014G1	PRJNA294605	b019-d014.r2.fq.gz	ftp.sra.ebi.ac.uk/vol1/fastq/SRR625/003/SRR6257453/SRR6257453_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR625/003/SRR6257453/SRR6257453_2.fastq.gz		ftp.sra.ebi.ac.uk/vol1/srr/SRR625/003/SRR6257453	This sample has been submitted by pda|info@madebydna.com on 2016-05-21; human gut metagenome
PRJNA294605	SRP074153	SAMN04161032	SRS1446908	SRX3363890	SRR6257454	408170	human gut metagenome	N1_018_018G1	PRJNA294605	b018-d018.r1.fq.gz	ftp.sra.ebi.ac.uk/vol1/fastq/SRR625/004/SRR6257454/SRR6257454_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR625/004/SRR6257454/SRR6257454_2.fastq.gz		ftp.sra.ebi.ac.uk/vol1/srr/SRR625/004/SRR6257454	This sample has been submitted by pda|info@madebydna.com on 2016-05-21; human gut metagenome
PRJNA294605	SRP074153	SAMN04161032	SRS1446908	SRX3363889	SRR6257455	408170	human gut metagenome	N1_018_019G1	PRJNA294605	b018-d019.r2.fq.gz	ftp.sra.ebi.ac.uk/vol1/fastq/SRR625/005/SRR6257455/SRR6257455_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR625/005/SRR6257455/SRR6257455_2.fastq.gz		ftp.sra.ebi.ac.uk/vol1/srr/SRR625/005/SRR6257455	This sample has been submitted by pda|info@madebydna.com on 2016-05-21; human gut metagenome
PRJNA294605	SRP074153	SAMN04161032	SRS1446908	SRX3363888	SRR6257456	408170	human gut metagenome	N1_018_020G1	PRJNA294605	b018-d020.r2.fq.gz	ftp.sra.ebi.ac.uk/vol1/fastq/SRR625/006/SRR6257456/SRR6257456_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR625/006/SRR6257456/SRR6257456_2.fastq.gz		ftp.sra.ebi.ac.uk/vol1/srr/SRR625/006/SRR6257456	This sample has been submitted by pda|info@madebydna.com on 2016-05-21; human gut metagenome
PRJNA294605	SRP074153	SAMN04161032	SRS1446908	SRX3363887	SRR6257457	408170	human gut metagenome	N1_018_024G1	PRJNA294605	b018-d024.r1.fq.gz	ftp.sra.ebi.ac.uk/vol1/fastq/SRR625/007/SRR6257457/SRR6257457_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR625/007/SRR6257457/SRR6257457_2.fastq.gz		ftp.sra.ebi.ac.uk/vol1/srr/SRR625/007/SRR6257457	This sample has been submitted by pda|info@madebydna.com on 2016-05-21; human gut metagenome
PRJNA294605	SRP074153	SAMN04161032	SRS1446908	SRX3363886	SRR6257458	408170	human gut metagenome	N1_018_037G1	PRJNA294605	b018-d037.r1.fq.gz	ftp.sra.ebi.ac.uk/vol1/fastq/SRR625/008/SRR6257458/SRR6257458_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR625/008/SRR6257458/SRR6257458_2.fastq.gz		ftp.sra.ebi.ac.uk/vol1/srr/SRR625/008/SRR6257458	This sample has been submitted by pda|info@madebydna.com on 2016-05-21; human gut metagenome
PRJNA294605	SRP074153	SAMN04161033	SRS1446909	SRX3363885	SRR6257459	408170	human gut metagenome	N1_019_010G1	PRJNA294605	b019-d010.r2.fq.gz	ftp.sra.ebi.ac.uk/vol1/fastq/SRR625/009/SRR6257459/SRR6257459_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR625/009/SRR6257459/SRR6257459_2.fastq.gz		ftp.sra.ebi.ac.uk/vol1/srr/SRR625/009/SRR6257459	This sample has been submitted by pda|info@madebydna.com on 2016-05-21; human gut metagenome
PRJNA294605	SRP074153	SAMN04161033	SRS1446909	SRX3363884	SRR6257460	408170	human gut metagenome	N1_019_011G1	PRJNA294605	b019-d011.r1.fq.gz	ftp.sra.ebi.ac.uk/vol1/fastq/SRR625/000/SRR6257460/SRR6257460_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR625/000/SRR6257460/SRR6257460_2.fastq.gz		ftp.sra.ebi.ac.uk/vol1/srr/SRR625/000/SRR6257460	This sample has been submitted by pda|info@madebydna.com on 2016-05-21; human gut metagenome
PRJNA294605	SRP074153	SAMN04161033	SRS1446909	SRX3363883	SRR6257461	408170	human gut metagenome	N1_019_012G1	PRJNA294605	b019-d012.r2.fq.gz	ftp.sra.ebi.ac.uk/vol1/fastq/SRR625/001/SRR6257461/SRR6257461_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR625/001/SRR6257461/SRR6257461_2.fastq.gz		ftp.sra.ebi.ac.uk/vol1/srr/SRR625/001/SRR6257461	This sample has been submitted by pda|info@madebydna.com on 2016-05-21; human gut metagenome
PRJNA294605	SRP074153	SAMN04161035	SRS1446911	SRX3363882	SRR6257462	408170	human gut metagenome	N1_023_034G1	PRJNA294605	b023-d034.r2.fq.gz	ftp.sra.ebi.ac.uk/vol1/fastq/SRR625/002/SRR6257462/SRR6257462_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR625/002/SRR6257462/SRR6257462_2.fastq.gz		ftp.sra.ebi.ac.uk/vol1/srr/SRR625/002/SRR6257462	This sample has been submitted by pda|info@madebydna.com on 2016-05-21; human gut metagenome
