study_accession	sample_accession	secondary_sample_accession	experiment_accession	run_accession	scientific_name	fastq_ftp	sample_alias
PRJNA376566	SAMN06444582	SRS2092607	SRX2698216	SRR5405738	human metagenome	ftp.sra.ebi.ac.uk/vol1/fastq/SRR540/008/SRR5405738/SRR5405738.fastq.gz	S2_010_030G1
PRJNA376566	SAMN06444581	SRS2092609	SRX2698217	SRR5405739	human metagenome	ftp.sra.ebi.ac.uk/vol1/fastq/SRR540/009/SRR5405739/SRR5405739.fastq.gz	S2_010_026G1
PRJNA376566	SAMN06444580	SRS2092610	SRX2698218	SRR5405740	human metagenome	ftp.sra.ebi.ac.uk/vol1/fastq/SRR540/000/SRR5405740/SRR5405740.fastq.gz	S2_010_024G1
PRJNA376566	SAMN06444579	SRS2092611	SRX2698219	SRR5405741	human metagenome	ftp.sra.ebi.ac.uk/vol1/fastq/SRR540/001/SRR5405741/SRR5405741.fastq.gz	S2_010_023G1
PRJNA376566	SAMN06444578	SRS2092612	SRX2698220	SRR5405742	human metagenome	ftp.sra.ebi.ac.uk/vol1/fastq/SRR540/002/SRR5405742/SRR5405742.fastq.gz	S2_010_022G1
PRJNA376566	SAMN06444577	SRS2092613	SRX2698221	SRR5405743	human metagenome	ftp.sra.ebi.ac.uk/vol1/fastq/SRR540/003/SRR5405743/SRR5405743.fastq.gz	S2_010_021G1
PRJNA376566	SAMN06444576	SRS2092614	SRX2698222	SRR5405744	human metagenome	ftp.sra.ebi.ac.uk/vol1/fastq/SRR540/004/SRR5405744/SRR5405744.fastq.gz	S2_010_019G1
PRJNA376566	SAMN06444575	SRS2092615	SRX2698223	SRR5405745	human metagenome	ftp.sra.ebi.ac.uk/vol1/fastq/SRR540/005/SRR5405745/SRR5405745.fastq.gz	S2_010_018G1
PRJNA376566	SAMN06444574	SRS2092616	SRX2698224	SRR5405746	human metagenome	ftp.sra.ebi.ac.uk/vol1/fastq/SRR540/006/SRR5405746/SRR5405746.fastq.gz	S2_010_017G1
PRJNA376566	SAMN06444573	SRS2092617	SRX2698225	SRR5405747	human metagenome	ftp.sra.ebi.ac.uk/vol1/fastq/SRR540/007/SRR5405747/SRR5405747.fastq.gz	S2_010_016G1
PRJNA376566	SAMN06444572	SRS2092618	SRX2698226	SRR5405748	human metagenome	ftp.sra.ebi.ac.uk/vol1/fastq/SRR540/008/SRR5405748/SRR5405748.fastq.gz	S2_010_008G1
PRJNA376566	SAMN06444571	SRS2092620	SRX2698227	SRR5405749	human metagenome	ftp.sra.ebi.ac.uk/vol1/fastq/SRR540/009/SRR5405749/SRR5405749.fastq.gz	S2_010_007G1
PRJNA376566	SAMN06444570	SRS2092619	SRX2698228	SRR5405750	human metagenome	ftp.sra.ebi.ac.uk/vol1/fastq/SRR540/000/SRR5405750/SRR5405750.fastq.gz	S2_010_006G1
PRJNA376566	SAMN06444569	SRS2092621	SRX2698229	SRR5405751	human metagenome	ftp.sra.ebi.ac.uk/vol1/fastq/SRR540/001/SRR5405751/SRR5405751.fastq.gz	S2_010_005G1
PRJNA376566	SAMN06444568	SRS2092623	SRX2698230	SRR5405752	human metagenome	ftp.sra.ebi.ac.uk/vol1/fastq/SRR540/002/SRR5405752/SRR5405752.fastq.gz	S2_009_028G1
PRJNA376566	SAMN06444567	SRS2092622	SRX2698231	SRR5405753	human metagenome	ftp.sra.ebi.ac.uk/vol1/fastq/SRR540/003/SRR5405753/SRR5405753.fastq.gz	S2_009_027G1
PRJNA376566	SAMN06444566	SRS2092625	SRX2698232	SRR5405754	human metagenome	ftp.sra.ebi.ac.uk/vol1/fastq/SRR540/004/SRR5405754/SRR5405754.fastq.gz	S2_009_026G1
PRJNA376566	SAMN06444565	SRS2092626	SRX2698233	SRR5405755	human metagenome	ftp.sra.ebi.ac.uk/vol1/fastq/SRR540/005/SRR5405755/SRR5405755.fastq.gz	S2_009_025G1
PRJNA376566	SAMN06444564	SRS2092624	SRX2698234	SRR5405756	human metagenome	ftp.sra.ebi.ac.uk/vol1/fastq/SRR540/006/SRR5405756/SRR5405756.fastq.gz	S2_009_024G1
PRJNA376566	SAMN06444563	SRS2092628	SRX2698235	SRR5405757	human metagenome	ftp.sra.ebi.ac.uk/vol1/fastq/SRR540/007/SRR5405757/SRR5405757.fastq.gz	S2_009_023G1
PRJNA376566	SAMN06444562	SRS2092629	SRX2698236	SRR5405758	human metagenome	ftp.sra.ebi.ac.uk/vol1/fastq/SRR540/008/SRR5405758/SRR5405758.fastq.gz	S2_009_022G1
PRJNA376566	SAMN06444561	SRS2092627	SRX2698237	SRR5405759	human metagenome	ftp.sra.ebi.ac.uk/vol1/fastq/SRR540/009/SRR5405759/SRR5405759.fastq.gz	S2_009_021G1
PRJNA376566	SAMN06444560	SRS2092630	SRX2698238	SRR5405760	human metagenome	ftp.sra.ebi.ac.uk/vol1/fastq/SRR540/000/SRR5405760/SRR5405760.fastq.gz	S2_009_020G1
PRJNA376566	SAMN06444559	SRS2092632	SRX2698239	SRR5405761	human metagenome	ftp.sra.ebi.ac.uk/vol1/fastq/SRR540/001/SRR5405761/SRR5405761.fastq.gz	S2_009_019G1
PRJNA376566	SAMN06444558	SRS2092631	SRX2698240	SRR5405762	human metagenome	ftp.sra.ebi.ac.uk/vol1/fastq/SRR540/002/SRR5405762/SRR5405762.fastq.gz	S2_009_018G1
PRJNA376566	SAMN06444557	SRS2092633	SRX2698241	SRR5405763	human metagenome	ftp.sra.ebi.ac.uk/vol1/fastq/SRR540/003/SRR5405763/SRR5405763.fastq.gz	S2_009_017G1
PRJNA376566	SAMN06444556	SRS2092634	SRX2698242	SRR5405764	human metagenome	ftp.sra.ebi.ac.uk/vol1/fastq/SRR540/004/SRR5405764/SRR5405764.fastq.gz	S2_009_016G1
PRJNA376566	SAMN06444555	SRS2092635	SRX2698243	SRR5405765	human metagenome	ftp.sra.ebi.ac.uk/vol1/fastq/SRR540/005/SRR5405765/SRR5405765.fastq.gz	S2_009_015G1
PRJNA376566	SAMN06444554	SRS2092637	SRX2698244	SRR5405766	human metagenome	ftp.sra.ebi.ac.uk/vol1/fastq/SRR540/006/SRR5405766/SRR5405766.fastq.gz	S2_009_014G1
PRJNA376566	SAMN06444553	SRS2092636	SRX2698245	SRR5405767	human metagenome	ftp.sra.ebi.ac.uk/vol1/fastq/SRR540/007/SRR5405767/SRR5405767.fastq.gz	S2_009_013G1
PRJNA376566	SAMN06444552	SRS2092638	SRX2698246	SRR5405768	human metagenome	ftp.sra.ebi.ac.uk/vol1/fastq/SRR540/008/SRR5405768/SRR5405768.fastq.gz	S2_009_012G1
PRJNA376566	SAMN06444551	SRS2092640	SRX2698247	SRR5405769	human metagenome	ftp.sra.ebi.ac.uk/vol1/fastq/SRR540/009/SRR5405769/SRR5405769.fastq.gz	S2_009_011G1
PRJNA376566	SAMN06444550	SRS2092639	SRX2698248	SRR5405770	human metagenome	ftp.sra.ebi.ac.uk/vol1/fastq/SRR540/000/SRR5405770/SRR5405770.fastq.gz	S2_009_010G1
PRJNA376566	SAMN06444549	SRS2092641	SRX2698249	SRR5405771	human metagenome	ftp.sra.ebi.ac.uk/vol1/fastq/SRR540/001/SRR5405771/SRR5405771.fastq.gz	S2_009_009G1
PRJNA376566	SAMN06444548	SRS2092642	SRX2698250	SRR5405772	human metagenome	ftp.sra.ebi.ac.uk/vol1/fastq/SRR540/002/SRR5405772/SRR5405772.fastq.gz	S2_009_008G1
PRJNA376566	SAMN06444547	SRS2092643	SRX2698251	SRR5405773	human metagenome	ftp.sra.ebi.ac.uk/vol1/fastq/SRR540/003/SRR5405773/SRR5405773.fastq.gz	S2_009_005G1
PRJNA376566	SAMN06444546	SRS2092644	SRX2698252	SRR5405774	human metagenome	ftp.sra.ebi.ac.uk/vol1/fastq/SRR540/004/SRR5405774/SRR5405774.fastq.gz	S2_008_027G1
PRJNA376566	SAMN06444545	SRS2092645	SRX2698253	SRR5405775	human metagenome	ftp.sra.ebi.ac.uk/vol1/fastq/SRR540/005/SRR5405775/SRR5405775.fastq.gz	S2_008_026G1
PRJNA376566	SAMN06444544	SRS2092646	SRX2698254	SRR5405776	human metagenome	ftp.sra.ebi.ac.uk/vol1/fastq/SRR540/006/SRR5405776/SRR5405776.fastq.gz	S2_008_024G1
PRJNA376566	SAMN06444543	SRS2092647	SRX2698255	SRR5405777	human metagenome	ftp.sra.ebi.ac.uk/vol1/fastq/SRR540/007/SRR5405777/SRR5405777.fastq.gz	S2_008_023G1
PRJNA376566	SAMN06444542	SRS2092648	SRX2698256	SRR5405778	human metagenome	ftp.sra.ebi.ac.uk/vol1/fastq/SRR540/008/SRR5405778/SRR5405778.fastq.gz	S2_008_021G1
PRJNA376566	SAMN06444541	SRS2092650	SRX2698257	SRR5405779	human metagenome	ftp.sra.ebi.ac.uk/vol1/fastq/SRR540/009/SRR5405779/SRR5405779.fastq.gz	S2_008_020G1
PRJNA376566	SAMN06444540	SRS2092649	SRX2698258	SRR5405780	human metagenome	ftp.sra.ebi.ac.uk/vol1/fastq/SRR540/000/SRR5405780/SRR5405780.fastq.gz	S2_008_017G1
PRJNA376566	SAMN06444539	SRS2092651	SRX2698259	SRR5405781	human metagenome	ftp.sra.ebi.ac.uk/vol1/fastq/SRR540/001/SRR5405781/SRR5405781.fastq.gz	S2_008_015G1
PRJNA376566	SAMN06444538	SRS2092652	SRX2698260	SRR5405782	human metagenome	ftp.sra.ebi.ac.uk/vol1/fastq/SRR540/002/SRR5405782/SRR5405782.fastq.gz	S2_008_014G1
PRJNA376566	SAMN06444537	SRS2092653	SRX2698261	SRR5405783	human metagenome	ftp.sra.ebi.ac.uk/vol1/fastq/SRR540/003/SRR5405783/SRR5405783.fastq.gz	S2_008_012G1
PRJNA376566	SAMN06444536	SRS2092654	SRX2698262	SRR5405784	human metagenome	ftp.sra.ebi.ac.uk/vol1/fastq/SRR540/004/SRR5405784/SRR5405784.fastq.gz	S2_008_011G1
PRJNA376566	SAMN06444535	SRS2092655	SRX2698263	SRR5405785	human metagenome	ftp.sra.ebi.ac.uk/vol1/fastq/SRR540/005/SRR5405785/SRR5405785.fastq.gz	S2_008_010G1
PRJNA376566	SAMN06444534	SRS2092656	SRX2698264	SRR5405786	human metagenome	ftp.sra.ebi.ac.uk/vol1/fastq/SRR540/006/SRR5405786/SRR5405786.fastq.gz	S2_008_008G1
PRJNA376566	SAMN06444533	SRS2092657	SRX2698265	SRR5405787	human metagenome	ftp.sra.ebi.ac.uk/vol1/fastq/SRR540/007/SRR5405787/SRR5405787.fastq.gz	S2_008_007G1
PRJNA376566	SAMN06444532	SRS2092659	SRX2698266	SRR5405788	human metagenome	ftp.sra.ebi.ac.uk/vol1/fastq/SRR540/008/SRR5405788/SRR5405788.fastq.gz	S2_006_027G1
PRJNA376566	SAMN06444531	SRS2092658	SRX2698267	SRR5405789	human metagenome	ftp.sra.ebi.ac.uk/vol1/fastq/SRR540/009/SRR5405789/SRR5405789.fastq.gz	S2_006_026G1
PRJNA376566	SAMN06444530	SRS2092660	SRX2698268	SRR5405790	human metagenome	ftp.sra.ebi.ac.uk/vol1/fastq/SRR540/000/SRR5405790/SRR5405790.fastq.gz	S2_006_023G1
PRJNA376566	SAMN06444529	SRS2092661	SRX2698269	SRR5405791	human metagenome	ftp.sra.ebi.ac.uk/vol1/fastq/SRR540/001/SRR5405791/SRR5405791.fastq.gz	S2_006_022G1
PRJNA376566	SAMN06444528	SRS2092662	SRX2698270	SRR5405792	human metagenome	ftp.sra.ebi.ac.uk/vol1/fastq/SRR540/002/SRR5405792/SRR5405792.fastq.gz	S2_006_021G1
PRJNA376566	SAMN06444527	SRS2092663	SRX2698271	SRR5405793	human metagenome	ftp.sra.ebi.ac.uk/vol1/fastq/SRR540/003/SRR5405793/SRR5405793.fastq.gz	S2_006_020G1
PRJNA376566	SAMN06444526	SRS2092665	SRX2698272	SRR5405794	human metagenome	ftp.sra.ebi.ac.uk/vol1/fastq/SRR540/004/SRR5405794/SRR5405794.fastq.gz	S2_006_019G1
PRJNA376566	SAMN06444525	SRS2092664	SRX2698273	SRR5405795	human metagenome	ftp.sra.ebi.ac.uk/vol1/fastq/SRR540/005/SRR5405795/SRR5405795.fastq.gz	S2_006_018G1
PRJNA376566	SAMN06444524	SRS2092666	SRX2698274	SRR5405796	human metagenome	ftp.sra.ebi.ac.uk/vol1/fastq/SRR540/006/SRR5405796/SRR5405796.fastq.gz	S2_006_016G1
PRJNA376566	SAMN06444523	SRS2092667	SRX2698275	SRR5405797	human metagenome	ftp.sra.ebi.ac.uk/vol1/fastq/SRR540/007/SRR5405797/SRR5405797.fastq.gz	S2_006_015G1
PRJNA376566	SAMN06444522	SRS2092668	SRX2698276	SRR5405798	human metagenome	ftp.sra.ebi.ac.uk/vol1/fastq/SRR540/008/SRR5405798/SRR5405798.fastq.gz	S2_006_014G1
PRJNA376566	SAMN06444521	SRS2092670	SRX2698277	SRR5405799	human metagenome	ftp.sra.ebi.ac.uk/vol1/fastq/SRR540/009/SRR5405799/SRR5405799.fastq.gz	S2_006_013G1
PRJNA376566	SAMN06444520	SRS2092671	SRX2698278	SRR5405800	human metagenome	ftp.sra.ebi.ac.uk/vol1/fastq/SRR540/000/SRR5405800/SRR5405800.fastq.gz	S2_006_012G1
PRJNA376566	SAMN06444519	SRS2092669	SRX2698279	SRR5405801	human metagenome	ftp.sra.ebi.ac.uk/vol1/fastq/SRR540/001/SRR5405801/SRR5405801.fastq.gz	S2_006_011G1
PRJNA376566	SAMN06444518	SRS2092674	SRX2698280	SRR5405802	human metagenome	ftp.sra.ebi.ac.uk/vol1/fastq/SRR540/002/SRR5405802/SRR5405802.fastq.gz	S2_006_010G1
PRJNA376566	SAMN06444517	SRS2092673	SRX2698281	SRR5405803	human metagenome	ftp.sra.ebi.ac.uk/vol1/fastq/SRR540/003/SRR5405803/SRR5405803.fastq.gz	S2_006_009G1
PRJNA376566	SAMN06444516	SRS2092672	SRX2698282	SRR5405804	human metagenome	ftp.sra.ebi.ac.uk/vol1/fastq/SRR540/004/SRR5405804/SRR5405804.fastq.gz	S2_006_008G1
PRJNA376566	SAMN06444515	SRS2092675	SRX2698283	SRR5405805	human metagenome	ftp.sra.ebi.ac.uk/vol1/fastq/SRR540/005/SRR5405805/SRR5405805.fastq.gz	S2_006_007G1
PRJNA376566	SAMN06444514	SRS2092676	SRX2698284	SRR5405806	human metagenome	ftp.sra.ebi.ac.uk/vol1/fastq/SRR540/006/SRR5405806/SRR5405806.fastq.gz	S2_006_006G1
PRJNA376566	SAMN06444513	SRS2092677	SRX2698285	SRR5405807	human metagenome	ftp.sra.ebi.ac.uk/vol1/fastq/SRR540/007/SRR5405807/SRR5405807.fastq.gz	S2_006_005G1
PRJNA376566	SAMN06444512	SRS2092678	SRX2698286	SRR5405808	human metagenome	ftp.sra.ebi.ac.uk/vol1/fastq/SRR540/008/SRR5405808/SRR5405808_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR540/008/SRR5405808/SRR5405808_2.fastq.gz	S2_005_000G1
PRJNA376566	SAMN06444511	SRS2092679	SRX2698287	SRR5405809	human metagenome	ftp.sra.ebi.ac.uk/vol1/fastq/SRR540/009/SRR5405809/SRR5405809.fastq.gz	S2_004_028G1
PRJNA376566	SAMN06444510	SRS2092680	SRX2698288	SRR5405810	human metagenome	ftp.sra.ebi.ac.uk/vol1/fastq/SRR540/000/SRR5405810/SRR5405810.fastq.gz	S2_004_027G1
PRJNA376566	SAMN06444509	SRS2092681	SRX2698289	SRR5405811	human metagenome	ftp.sra.ebi.ac.uk/vol1/fastq/SRR540/001/SRR5405811/SRR5405811.fastq.gz	S2_004_026G1
PRJNA376566	SAMN06444508	SRS2092682	SRX2698290	SRR5405812	human metagenome	ftp.sra.ebi.ac.uk/vol1/fastq/SRR540/002/SRR5405812/SRR5405812.fastq.gz	S2_004_025G1
PRJNA376566	SAMN06444507	SRS2092683	SRX2698291	SRR5405813	human metagenome	ftp.sra.ebi.ac.uk/vol1/fastq/SRR540/003/SRR5405813/SRR5405813.fastq.gz	S2_004_023G1
PRJNA376566	SAMN06444506	SRS2092685	SRX2698292	SRR5405814	human metagenome	ftp.sra.ebi.ac.uk/vol1/fastq/SRR540/004/SRR5405814/SRR5405814.fastq.gz	S2_004_021G1
PRJNA376566	SAMN06444505	SRS2092684	SRX2698293	SRR5405815	human metagenome	ftp.sra.ebi.ac.uk/vol1/fastq/SRR540/005/SRR5405815/SRR5405815.fastq.gz	S2_004_020G1
PRJNA376566	SAMN06444504	SRS2092686	SRX2698294	SRR5405816	human metagenome	ftp.sra.ebi.ac.uk/vol1/fastq/SRR540/006/SRR5405816/SRR5405816.fastq.gz	S2_004_019G1
PRJNA376566	SAMN06444503	SRS2092687	SRX2698295	SRR5405817	human metagenome	ftp.sra.ebi.ac.uk/vol1/fastq/SRR540/007/SRR5405817/SRR5405817.fastq.gz	S2_004_018G1
PRJNA376566	SAMN06444502	SRS2092689	SRX2698296	SRR5405818	human metagenome	ftp.sra.ebi.ac.uk/vol1/fastq/SRR540/008/SRR5405818/SRR5405818.fastq.gz	S2_004_017G1
PRJNA376566	SAMN06444501	SRS2092688	SRX2698297	SRR5405819	human metagenome	ftp.sra.ebi.ac.uk/vol1/fastq/SRR540/009/SRR5405819/SRR5405819.fastq.gz	S2_004_016G1
PRJNA376566	SAMN06444500	SRS2092690	SRX2698298	SRR5405820	human metagenome	ftp.sra.ebi.ac.uk/vol1/fastq/SRR540/000/SRR5405820/SRR5405820.fastq.gz	S2_004_015G1
PRJNA376566	SAMN06444499	SRS2092691	SRX2698299	SRR5405821	human metagenome	ftp.sra.ebi.ac.uk/vol1/fastq/SRR540/001/SRR5405821/SRR5405821.fastq.gz	S2_004_014G1
PRJNA376566	SAMN06444498	SRS2092692	SRX2698300	SRR5405822	human metagenome	ftp.sra.ebi.ac.uk/vol1/fastq/SRR540/002/SRR5405822/SRR5405822.fastq.gz	S2_004_013G1
PRJNA376566	SAMN06444497	SRS2092693	SRX2698301	SRR5405823	human metagenome	ftp.sra.ebi.ac.uk/vol1/fastq/SRR540/003/SRR5405823/SRR5405823.fastq.gz	S2_004_012G1
PRJNA376566	SAMN06444496	SRS2092694	SRX2698302	SRR5405824	human metagenome	ftp.sra.ebi.ac.uk/vol1/fastq/SRR540/004/SRR5405824/SRR5405824.fastq.gz	S2_004_011G1
PRJNA376566	SAMN06444495	SRS2092695	SRX2698303	SRR5405825	human metagenome	ftp.sra.ebi.ac.uk/vol1/fastq/SRR540/005/SRR5405825/SRR5405825.fastq.gz	S2_004_010G1
PRJNA376566	SAMN06444494	SRS2092698	SRX2698304	SRR5405826	human metagenome	ftp.sra.ebi.ac.uk/vol1/fastq/SRR540/006/SRR5405826/SRR5405826.fastq.gz	S2_004_009G1
PRJNA376566	SAMN06444493	SRS2092696	SRX2698305	SRR5405827	human metagenome	ftp.sra.ebi.ac.uk/vol1/fastq/SRR540/007/SRR5405827/SRR5405827.fastq.gz	S2_004_008G1
PRJNA376566	SAMN06444492	SRS2092697	SRX2698306	SRR5405828	human metagenome	ftp.sra.ebi.ac.uk/vol1/fastq/SRR540/008/SRR5405828/SRR5405828.fastq.gz	S2_004_007G1
PRJNA376566	SAMN06444491	SRS2092699	SRX2698307	SRR5405829	human metagenome	ftp.sra.ebi.ac.uk/vol1/fastq/SRR540/009/SRR5405829/SRR5405829.fastq.gz	S2_004_006G1
PRJNA376566	SAMN06444490	SRS2092700	SRX2698308	SRR5405830	human metagenome	ftp.sra.ebi.ac.uk/vol1/fastq/SRR540/000/SRR5405830/SRR5405830.fastq.gz	S2_003_021G1
PRJNA376566	SAMN06444489	SRS2092703	SRX2698309	SRR5405831	human metagenome	ftp.sra.ebi.ac.uk/vol1/fastq/SRR540/001/SRR5405831/SRR5405831.fastq.gz	S2_003_020G1
PRJNA376566	SAMN06444488	SRS2092702	SRX2698310	SRR5405832	human metagenome	ftp.sra.ebi.ac.uk/vol1/fastq/SRR540/002/SRR5405832/SRR5405832.fastq.gz	S2_003_019G1
PRJNA376566	SAMN06444487	SRS2092701	SRX2698311	SRR5405833	human metagenome	ftp.sra.ebi.ac.uk/vol1/fastq/SRR540/003/SRR5405833/SRR5405833.fastq.gz	S2_003_018G1
PRJNA376566	SAMN06444486	SRS2092704	SRX2698312	SRR5405834	human metagenome	ftp.sra.ebi.ac.uk/vol1/fastq/SRR540/004/SRR5405834/SRR5405834.fastq.gz	S2_003_017G1
PRJNA376566	SAMN06444485	SRS2092705	SRX2698313	SRR5405835	human metagenome	ftp.sra.ebi.ac.uk/vol1/fastq/SRR540/005/SRR5405835/SRR5405835.fastq.gz	S2_003_016G1
PRJNA376566	SAMN06444484	SRS2092706	SRX2698314	SRR5405836	human metagenome	ftp.sra.ebi.ac.uk/vol1/fastq/SRR540/006/SRR5405836/SRR5405836.fastq.gz	S2_003_015G1
PRJNA376566	SAMN06444483	SRS2092707	SRX2698315	SRR5405837	human metagenome	ftp.sra.ebi.ac.uk/vol1/fastq/SRR540/007/SRR5405837/SRR5405837.fastq.gz	S2_003_014G1
PRJNA376566	SAMN06444482	SRS2092708	SRX2698316	SRR5405838	human metagenome	ftp.sra.ebi.ac.uk/vol1/fastq/SRR540/008/SRR5405838/SRR5405838.fastq.gz	S2_003_013G1
PRJNA376566	SAMN06444481	SRS2092709	SRX2698317	SRR5405839	human metagenome	ftp.sra.ebi.ac.uk/vol1/fastq/SRR540/009/SRR5405839/SRR5405839.fastq.gz	S2_003_012G1
PRJNA376566	SAMN06444480	SRS2092710	SRX2698318	SRR5405840	human metagenome	ftp.sra.ebi.ac.uk/vol1/fastq/SRR540/000/SRR5405840/SRR5405840.fastq.gz	S2_003_011G1
PRJNA376566	SAMN06444479	SRS2092711	SRX2698319	SRR5405841	human metagenome	ftp.sra.ebi.ac.uk/vol1/fastq/SRR540/001/SRR5405841/SRR5405841.fastq.gz	S2_003_010G1
PRJNA376566	SAMN06444478	SRS2092712	SRX2698320	SRR5405842	human metagenome	ftp.sra.ebi.ac.uk/vol1/fastq/SRR540/002/SRR5405842/SRR5405842.fastq.gz	S2_003_009G1
PRJNA376566	SAMN06444477	SRS2092713	SRX2698321	SRR5405843	human metagenome	ftp.sra.ebi.ac.uk/vol1/fastq/SRR540/003/SRR5405843/SRR5405843.fastq.gz	S2_003_008G1
PRJNA376566	SAMN06444476	SRS2092714	SRX2698322	SRR5405844	human metagenome	ftp.sra.ebi.ac.uk/vol1/fastq/SRR540/004/SRR5405844/SRR5405844.fastq.gz	S2_003_007G1
PRJNA376566	SAMN06444475	SRS2092715	SRX2698323	SRR5405845	human metagenome	ftp.sra.ebi.ac.uk/vol1/fastq/SRR540/005/SRR5405845/SRR5405845.fastq.gz	S2_003_005G1
PRJNA376566	SAMN06444474	SRS2092716	SRX2698324	SRR5405846	human metagenome	ftp.sra.ebi.ac.uk/vol1/fastq/SRR540/006/SRR5405846/SRR5405846.fastq.gz	S2_002_028G1
PRJNA376566	SAMN06444473	SRS2092717	SRX2698325	SRR5405847	human metagenome	ftp.sra.ebi.ac.uk/vol1/fastq/SRR540/007/SRR5405847/SRR5405847.fastq.gz	S2_002_027G1
PRJNA376566	SAMN06444472	SRS2092718	SRX2698326	SRR5405848	human metagenome	ftp.sra.ebi.ac.uk/vol1/fastq/SRR540/008/SRR5405848/SRR5405848.fastq.gz	S2_002_026G1
PRJNA376566	SAMN06444471	SRS2092719	SRX2698327	SRR5405849	human metagenome	ftp.sra.ebi.ac.uk/vol1/fastq/SRR540/009/SRR5405849/SRR5405849.fastq.gz	S2_002_024G1
PRJNA376566	SAMN06444470	SRS2092720	SRX2698328	SRR5405850	human metagenome	ftp.sra.ebi.ac.uk/vol1/fastq/SRR540/000/SRR5405850/SRR5405850.fastq.gz	S2_002_023G1
PRJNA376566	SAMN06444469	SRS2092721	SRX2698329	SRR5405851	human metagenome	ftp.sra.ebi.ac.uk/vol1/fastq/SRR540/001/SRR5405851/SRR5405851.fastq.gz	S2_002_022G1
PRJNA376566	SAMN06444468	SRS2092722	SRX2698330	SRR5405852	human metagenome	ftp.sra.ebi.ac.uk/vol1/fastq/SRR540/002/SRR5405852/SRR5405852.fastq.gz	S2_002_020G1
PRJNA376566	SAMN06444467	SRS2092723	SRX2698331	SRR5405853	human metagenome	ftp.sra.ebi.ac.uk/vol1/fastq/SRR540/003/SRR5405853/SRR5405853.fastq.gz	S2_002_019G1
PRJNA376566	SAMN06444466	SRS2092725	SRX2698332	SRR5405854	human metagenome	ftp.sra.ebi.ac.uk/vol1/fastq/SRR540/004/SRR5405854/SRR5405854.fastq.gz	S2_002_018G1
PRJNA376566	SAMN06444465	SRS2092724	SRX2698333	SRR5405855	human metagenome	ftp.sra.ebi.ac.uk/vol1/fastq/SRR540/005/SRR5405855/SRR5405855.fastq.gz	S2_002_017G1
PRJNA376566	SAMN06444464	SRS2092728	SRX2698334	SRR5405856	human metagenome	ftp.sra.ebi.ac.uk/vol1/fastq/SRR540/006/SRR5405856/SRR5405856.fastq.gz	S2_002_016G1
PRJNA376566	SAMN06444463	SRS2092726	SRX2698335	SRR5405857	human metagenome	ftp.sra.ebi.ac.uk/vol1/fastq/SRR540/007/SRR5405857/SRR5405857.fastq.gz	S2_002_015G1
PRJNA376566	SAMN06444462	SRS2092727	SRX2698336	SRR5405858	human metagenome	ftp.sra.ebi.ac.uk/vol1/fastq/SRR540/008/SRR5405858/SRR5405858.fastq.gz	S2_002_014G1
PRJNA376566	SAMN06444461	SRS2092730	SRX2698337	SRR5405859	human metagenome	ftp.sra.ebi.ac.uk/vol1/fastq/SRR540/009/SRR5405859/SRR5405859.fastq.gz	S2_002_013G1
PRJNA376566	SAMN06444460	SRS2092729	SRX2698338	SRR5405860	human metagenome	ftp.sra.ebi.ac.uk/vol1/fastq/SRR540/000/SRR5405860/SRR5405860.fastq.gz	S2_002_012G1
PRJNA376566	SAMN06444459	SRS2092731	SRX2698339	SRR5405861	human metagenome	ftp.sra.ebi.ac.uk/vol1/fastq/SRR540/001/SRR5405861/SRR5405861.fastq.gz	S2_002_011G1
PRJNA376566	SAMN06444458	SRS2092732	SRX2698340	SRR5405862	human metagenome	ftp.sra.ebi.ac.uk/vol1/fastq/SRR540/002/SRR5405862/SRR5405862.fastq.gz	S2_002_010G1
PRJNA376566	SAMN06444457	SRS2092733	SRX2698341	SRR5405863	human metagenome	ftp.sra.ebi.ac.uk/vol1/fastq/SRR540/003/SRR5405863/SRR5405863.fastq.gz	S2_002_007G1
PRJNA376566	SAMN06444456	SRS2092734	SRX2698342	SRR5405864	human metagenome	ftp.sra.ebi.ac.uk/vol1/fastq/SRR540/004/SRR5405864/SRR5405864.fastq.gz	S2_002_005G1
PRJNA376566	SAMN06444455	SRS2092735	SRX2698343	SRR5405865	human metagenome	ftp.sra.ebi.ac.uk/vol1/fastq/SRR540/005/SRR5405865/SRR5405865.fastq.gz	N2_093_010G1
PRJNA376566	SAMN06444454	SRS2092736	SRX2698344	SRR5405866	human metagenome	ftp.sra.ebi.ac.uk/vol1/fastq/SRR540/006/SRR5405866/SRR5405866.fastq.gz	N2_093_009G1
PRJNA376566	SAMN06444453	SRS2092737	SRX2698345	SRR5405867	human metagenome	ftp.sra.ebi.ac.uk/vol1/fastq/SRR540/007/SRR5405867/SRR5405867.fastq.gz	N2_093_008G2
PRJNA376566	SAMN06444452	SRS2092738	SRX2698346	SRR5405868	human metagenome	ftp.sra.ebi.ac.uk/vol1/fastq/SRR540/008/SRR5405868/SRR5405868.fastq.gz	N2_093_008G1
PRJNA376566	SAMN06444451	SRS2092739	SRX2698347	SRR5405869	human metagenome	ftp.sra.ebi.ac.uk/vol1/fastq/SRR540/009/SRR5405869/SRR5405869.fastq.gz	N2_093_007G1
